id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
233395070,"Смартфон Note 50 3 64 ГБ RMX3834, Полуночный черный",6999,6089,,13,realme,5,realme Official Store,4.8,5845,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/233395070/detail.aspx?targetUrl=BP
227306610,C65 8+256GB,16990,9607,,43,POCO,5,WB Retail,4.8,7012,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/227306610/detail.aspx?targetUrl=BP
233395069,"Смартфон Note 50 3 64 ГБ RMX3834, Небесный голубой",6999,6089,,13,realme,5,realme Official Store,4.8,5845,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/233395069/detail.aspx?targetUrl=BP
257009631,Смартфон Xiaomi C65 8 256 ГБ сенсорный андроид,20380,9397,,53,POCO,4,TechnoStyleWorld,4.5,87,4.0,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/257009631/detail.aspx?targetUrl=BP
254023073,Смартфон Redmi 13C 8ГБ 256 ГБ 90гц Аndroid,18377,9432,,48,TechnoStyleWorld,4,TechnoStyleWorld,4.5,202,4.0,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/254023073/detail.aspx?targetUrl=BP
255133831,"Смартфон C63 8 256 ГБ RMX3939, Кожаный синий",13999,12179,,13,realme,5,realme Official Store,4.8,94,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/255133831/detail.aspx?targetUrl=BP
259756856,Смартфон Redmi 13C 8ГБ 256 ГБ 90гц Аndroid,18377,9432,,48,TechnoStyleWorld,4,TechnoStyleWorld,4.5,202,4.0,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/259756856/detail.aspx?targetUrl=BP
233395071,"Смартфон Note 50 4 128 ГБ RMX3834, Полуночный черный",8499,7394,,13,realme,5,realme Official Store,4.8,5845,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/233395071/detail.aspx?targetUrl=BP
262696092,SPARK Go 1 4+64GB Glittery White,7990,6881,,13,TECNO,5,TECNO Premium Store,4.9,84,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/262696092/detail.aspx?targetUrl=BP
233386719,"Смартфон Note 50 4 128 ГБ RMX3834, Небесный голубой",8499,7394,,13,realme,5,realme Official Store,4.8,5845,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/233386719/detail.aspx?targetUrl=BP
256298687,Смартфон 200 lite 8ГБ+256ГБ океанический голубой,32990,18368,,44,Honor,5,ТВОЙ ВЫБОР,4.9,197,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/256298687/detail.aspx?targetUrl=BP
190124309,"Смартфон HOTWAV Note 12, 8GB+128GB, 16MP+48MP, 6180 mAh",29800,9592,,67,XChagaev,5,XChagaev,4.7,985,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/190124309/detail.aspx?targetUrl=BP
257968817,Смартфон C61 6 128 ГБ зеленый,12824,8256,,35,realme,5,ЗЕОН,4.8,142,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/257968817/detail.aspx?targetUrl=BP
206695125,Смартфон Note 50 3 64 ГБ голубой,7478,5985,,19,realme,5,ЗЕОН,4.8,2860,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/206695125/detail.aspx?targetUrl=BP
206695127,Смартфон Note 50 4 128 ГБ черный,9987,7124,,28,realme,5,ЗЕОН,4.8,2860,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/206695127/detail.aspx?targetUrl=BP
240881095,"Смартфон 12 8 256 ГБ, Зеленый малахит",19999,17399,,13,realme,5,realme Official Store,4.8,406,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/240881095/detail.aspx?targetUrl=BP
264059072,Смартфон Huawei P Smart+2019 4 128Гб черный,19096,5973,,68,,4,huami store,4.5,469,4.4,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/264059072/detail.aspx?targetUrl=BP
210946320,Смартфон HOTWAV Note 13 Pro 16 GB 256 GB,25300,11445,,54,Geliev,5,Geliev,4.5,810,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/210946320/detail.aspx?targetUrl=BP
236154994,"CAMON 30 256+8, Uyuni Salt White",20990,17165,,18,TECNO,5,TECNO STORE,4.9,187,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/236154994/detail.aspx?targetUrl=BP
266105194,SPARK Go 1 4+64GB Startrail Black,7990,6881,,13,TECNO,5,TECNO Premium Store,4.9,84,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/266105194/detail.aspx?targetUrl=BP
