id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
12801489,Футболка черная однотонная,950,344,,63,UZcotton,5,UZcotton,4.8,340453,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/12801489/detail.aspx?targetUrl=BP
12801485,Футболка белая однотонная,950,344,,63,UZcotton,5,UZcotton,4.8,259886,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/12801485/detail.aspx?targetUrl=BP
10302970,Футболка хлопок оверсайз однотонная,1430,364,,74,ВС,5,Stark cotton,4.8,114660,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/10302970/detail.aspx?targetUrl=BP
16274185,Футболка черная хлопок однотонная,617,262,,57,UZcotton,5,UZcotton,4.8,53649,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/16274185/detail.aspx?targetUrl=BP
134386495,Футболка хлопок набор 3 шт,2365,910,,61,Varo,5,VARO,4.8,123005,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/134386495/detail.aspx?targetUrl=BP
103337309,Футболка базовая однотонная хлопок 100%,1799,998,,44,MATERIA,5,MATERIA,4.8,1764,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/103337309/detail.aspx?targetUrl=BP
189456424,Футболка хлопок однотонная,2000,444,,77,BROCOST,5,Mosya,4.8,862,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/189456424/detail.aspx?targetUrl=BP
180997142,Футболка спортивная хлопок однотонная,1500,344,,77,FAYZ-M,5,ИП Рыбакова К.А.,4.8,49732,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/180997142/detail.aspx?targetUrl=BP
214671355,Футболка хлопок набор 3 шт,2152,1242,,42,Varo,5,VARO,4.8,123005,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/214671355/detail.aspx?targetUrl=BP
180997293,Футболка спортивная хлопок однотонная,1500,344,,77,FAYZ-M,5,ИП Рыбакова К.А.,4.8,49732,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/180997293/detail.aspx?targetUrl=BP
151303222,Футболка хлопок набор 3 шт,2375,949,,60,Varo,5,VARO,4.8,123005,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/151303222/detail.aspx?targetUrl=BP
197267630,Футболка бежевая однотонная,950,344,,63,UZcotton,5,UZcotton,4.8,259886,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/197267630/detail.aspx?targetUrl=BP
237257337,Набор 2 Футболки с Принтом,2800,833,,70,Высшая лига,5,by Omelchenko,4.7,43986,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/237257337/detail.aspx?targetUrl=BP
232476870,Футболка хлопок набор 3 шт,2990,730,,75,NORSLAN,5,NORSLAN,4.9,5953,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/232476870/detail.aspx?targetUrl=BP
250122667,Набор 2 Футболки с Принтом,2800,885,,68,Высшая лига,5,by Omelchenko,4.7,10079,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/250122667/detail.aspx?targetUrl=BP
168954819,Футболка хлопок оверсайз однотонная,1430,364,,74,ВС,5,Stark cotton,4.8,114660,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/168954819/detail.aspx?targetUrl=BP
34444458,Футболка базовая однотонная без рисунка,4196,589,,85,nettle,5,NETTLE,4.8,3063,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/34444458/detail.aspx?targetUrl=BP
155420906,Футболка оверсайз черная однотонная хлопок,1100,398,,63,UZcotton,5,UZcotton,4.8,8988,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/155420906/detail.aspx?targetUrl=BP
26298238,Футболка оверсайз,3389,752,,77,Ticle,5,Ticle,4.8,94057,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/26298238/detail.aspx?targetUrl=BP
226261352,Футболка Премиум качества эластан 8% однотонная базовая,4400,944,,78,WHITE PALM,5,White Palm Dubai,4.8,3210,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/226261352/detail.aspx?targetUrl=BP
198163810,Футболка однотонная хлопок набор 5 шт,2743,1299,,52,Пять звёзд.,5,Просто Текстиль,4.8,20945,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/198163810/detail.aspx?targetUrl=BP
235893295,Набор базовых футболок,3000,666,,77,TodoModa,5,ИП Дементьев А.М,4.8,5821,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/235893295/detail.aspx?targetUrl=BP
224941722,Футболка хлопок оверсайз набор 2шт,1999,473,,76,ВС,5,Stark cotton,4.8,114660,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/224941722/detail.aspx?targetUrl=BP
